title,price,liter,fuel_type,year,transmission,city
Volkswagen Sharan I,1100,1.9,Diesel,2001,Mechanical,Kaunas
Volkswagen Passat B5,1150,1.9,Diesel,1999,Mechanical,Alytus
Volkswagen Passat,1150,1.9,Diesel,2000,Mechanical,Silute
Peugeot Boxer,1150,2.2,Diesel,2004,Mechanical,Klaipeda
Ford Mondeo,1150,2.0,Diesel,2008,Mechanical,Birzai
BMW 530 E39,1150,3.0,Diesel,2002,Mechanical,Rokiskis
Volkswagen Passat B5,1150,1.9,Diesel,1997,Mechanical,Vilnius
Peugeot 307 I,1190,2.0,Diesel,2003,Mechanical,Kaunas
Ford Galaxy,1200,2.0,Diesel,2012,Automatic,Vilnius
Nissan Primera P11,1200,2.0,Petrol / Gas,2000,Mechanical,Raseiniai
Audi A3,1200,1.9,Diesel,2000,Mechanical,Kaunas
Subaru Impreza,1200,1.6,Petrol / Gas,2001,Mechanical,Klaipeda
BMW 525 E39,1200,2.5,Diesel,2004,Mechanical,Vilnius
Opel Zafira,1200,2.2,Diesel,2005,Mechanical,Vilnius
Audi A6 C5,1200,2.5,Diesel,1999,Mechanical,Panevezys
Seat Ibiza,1200,1.9,Diesel,2002,Mechanical,Marijampole
Volkswagen Golf IV,1200,1.9,Diesel,1999,Mechanical,Jurbarkas
BMW 320 E46,1200,2.0,Diesel,2001,Mechanical,Telsiai
Volkswagen Golf IV,1225,1.4,Gasoline,2000,Mechanical,Radviliskis
Opel Zafira A,1230,2.0,Diesel,2000,Mechanical,Panevezys
BMW 320 E46,1250,2.0,Diesel,2003,Mechanical,Vilnius
Citroen C4,1250,1.6,Diesel,2007,Mechanical,Raseiniai
Peugeot 206,1250,1.6,Diesel,2005,Mechanical,Radviliskis
BMW 320 E46,1250,2.0,Diesel,2002,Mechanical,Silute
Fiat Punto,1250,1.2,Gasoline,2004,Mechanical,Telsiai
Volkswagen Bora,1250,1.9,Diesel,2002,Mechanical,Taurage
Volkswagen Polo IV,1295,1.9,Diesel,2004,Mechanical,Kretinga
BMW 525 E39,1300,2.5,Diesel,2003,Automatic,Kretinga
Citroen C4 Picasso,1300,1.6,Diesel,2007,Mechanical,Vilnius
Renault Scenic,1300,1.6,Petrol / Gas,1998,Mechanical,Vilnius
BMW 320,1300,2.0,Diesel,2002,Mechanical,Moletai
BMW 530,1300,3.0,Diesel,2000,Mechanical,Moletai
Ford Transit,1300,2.5,Diesel,1994,Mechanical,Kretinga
Peugeot Boxer,1300,2.0,Diesel,2003,Mechanical,Svencionys
Fiat Croma II,1300,1.9,Diesel,2006,Mechanical,Taurage
Peugeot 307 I,1330,2.0,Diesel,2002,Mechanical,Panevezys
Opel Meriva,1350,1.7,Diesel,2005,Mechanical,Prienai
Chrysler PT Cruiser,1350,2.0,Petrol / Gas,2003,Mechanical,Rokiskis
Opel Meriva I,1350,1.7,Diesel,2004,Mechanical,Kazlu Ruda
Volvo S60 I,1360,2.4,Diesel,2001,Mechanical,Taurage
Audi 80,1390,1.8,Petrol / Gas,1984,Mechanical,Radviliskis
Seat Ibiza,1399,1.2,Gasoline,2004,Mechanical,Raseiniai
Mercedes-Benz C 200,1400,2.0,Gasoline,2002,Mechanical,Pakruojis
Audi A3 8L,1400,1.9,Diesel,2002,Mechanical,Joniskis
Toyota Corolla,1400,2.0,Diesel,2002,Mechanical,Vilnius
Volkswagen Passat B5 FL,1430,1.9,Diesel,2001,Mechanical,Panevezys
Volkswagen Passat B5 FL,1450,1.9,Diesel,2003,Mechanical,Radviliskis
Mercedes-Benz A 160,1450,1.6,Gasoline,2002,Automatic,Jurbarkas
Volvo V50,1450,2.0,Diesel,2004,Mechanical,Klaipeda
Renault Laguna II,1450,1.8,Gasoline,2003,Mechanical,Vilnius
Opel Astra,1450,1.7,Diesel,2005,Mechanical,Siauliai
Volkswagen Polo,1450,1.2,Gasoline,2003,Mechanical,Svencionys
Volkswagen Passat B5,1450,1.9,Diesel,1999,Mechanical,Svencionys
Citroen C2,1495,1.2,Gasoline,2007,Mechanical,Kretinga
Opel Vectra C,1495,2.0,Diesel,2004,Mechanical,Kretinga
BMW 320 E46,1499,2.0,Diesel,2002,Mechanical,Vilkaviskis
Kia Sorento,1500,2.5,Diesel,2004,Mechanical,Radviliskis
Renault Scenic II,1530,1.9,Diesel,2005,Mechanical,Panevezys
BMW 530 E39,1530,2.9,Diesel,2000,Automatic,Panevezys
Volkswagen Polo IV FL,1530,1.2,Gasoline,2006,Mechanical,Panevezys
Volkswagen Polo IV FL,1530,1.2,Gasoline,2006,Mechanical,Panevezys
Opel Vectra C,1530,2.2,Diesel,2003,Automatic,Panevezys
Ford Probe,1550,2.0,Gasoline,1994,Mechanical,Klaipeda
Chrysler Voyager,1550,2.8,Diesel,2005,Automatic,Siauliai
BMW 530,1600,3.0,Diesel,2000,Automatic,Kaunas
Renault Megane,1600,1.9,Diesel,2006,Mechanical,Kaunas
Ford Transit,1600,2.4,Diesel,2002,Mechanical,Kaunas
Opel Signum,1600,2.2,Gasoline,2003,Mechanical,Klaipeda
Opel Combo C,1695,1.7,Diesel,2004,Mechanical,Kretinga
Volvo S80,1730,2.5,Diesel,1999,Automatic,Panevezys
Volkswagen Passat B6,1750,2.0,Diesel,2006,Mechanical,Silute
Ford Fiesta Mk6,1795,1.2,Gasoline,2007,Mechanical,Kretinga
Peugeot 307 II,1795,1.6,Diesel,2008,Mechanical,Kretinga
Volkswagen Golf V,1830,1.9,Diesel,2003,Mechanical,Panevezys
Citroen Xsara Picasso,1895,1.6,Diesel,2007,Mechanical,Kretinga
Audi A4 B7,1900,2.0,Diesel,2005,Mechanical,Radviliskis
Mazda 6,1950,1.8,Gasoline,2004,Mechanical,Kaunas
Audi A2,1995,1.4,Gasoline,2002,Mechanical,Kretinga
Citroen C3 Pluriel,1995,1.4,Diesel,2005,Mechanical,Kretinga
Citroen Xsara Picasso,1995,1.6,Diesel,2008,Mechanical,Kretinga
Citroen C5 II,1995,2.0,Diesel,2007,Automatic,Kretinga
Mercedes-Benz E 320,2000,3.2,Diesel,2003,Automatic,Klaipeda
Honda Accord VII,2000,2.2,Diesel,2004,Mechanical,Varena
Toyota Avensis II,2130,2.0,Diesel,2004,Mechanical,Panevezys
Opel Corsa,2150,1.2,Gasoline,2001,Automatic,Kaunas
Citroen C6,2200,2.7,Diesel,2006,Automatic,Vilnius
Peugeot 407,2200,2.7,Diesel,2009,Automatic,Vilnius
Ford Explorer,2299,4.0,Petrol / Gas,1996,Mechanical,Vilnius
Seat Altea,2320,2.0,Diesel,2005,Mechanical,Alytus
Smart Fortwo I,2345,0.7,Gasoline,2007,Automatic,Kretinga
Opel Corsa D,2345,1.2,Diesel,2009,Mechanical,Kretinga
Volkswagen Golf,2350,1.6,Gasoline,2001,Automatic,Kaunas
Saab 9-3,2350,1.9,Diesel,2008,Mechanical,Siauliai
Citroen C3 I,2395,1.4,Gasoline,2003,Automatic,Kretinga
Kia Carnival,2400,2.9,Diesel,2008,Mechanical,Kaunas
Mercedes-Benz E 320 W211,2450,3.2,Diesel,2004,Automatic,Siauliai
Opel Meriva I,2495,1.6,Gasoline,2005,Automatic,Kretinga
Volkswagen Multivan,2495,2.4,Diesel,1994,Mechanical,Kretinga
Opel Signum,2500,1.9,Diesel,2008,Mechanical,Visaginas
Chevrolet Rezzo,2550,2.0,Petrol / Gas,2008,Mechanical,Kaunas
Kia Cee'd I,2550,1.6,Gasoline,2008,Mechanical,Marijampole
Citroen C3 I,2695,1.4,Gasoline,2005,Automatic,Kretinga
Audi A4,2900,2.0,Diesel,2005,Mechanical,Kaunas
Skoda Fabia,2950,1.4,Diesel,2009,Mechanical,Kedainiai
Audi 100,3000,2.2,Gasoline,1983,Mechanical,Kedainiai
Skoda Superb,3150,2.0,Diesel,2006,Mechanical,Kaunas
Volkswagen Touran,3308,1.9,Diesel,2008,Mechanical,Kedainiai
Audi A4 B7,3400,2.5,Diesel,2005,Automatic,Marijampole
Volkswagen Transporter,3400,1.9,Diesel,2000,Mechanical,Vilnius
Ford S-Max,3450,2.0,Diesel,2011,Automatic,Klaipeda
BMW 530 E60,3450,3.0,Diesel,2003,Automatic,Vilnius
BMW X3,3450,2.0,Diesel,2007,Mechanical,Kedainiai
Ford Focus,3500,1.6,Diesel,2009,Mechanical,Kaunas
Volkswagen Caddy III,3550,1.6,Gasoline,2005,Mechanical,Kaunas
Skoda Octavia,3550,2.0,Diesel,2007,Mechanical,Vilkaviskis
Audi A6,3600,2.4,Petrol / Gas,2006,Mechanical,Vilnius
Opel Meriva,3600,1.4,Gasoline,2009,Mechanical,Kaunas
Audi A6,3650,3.0,Diesel,2006,Automatic,Kedainiai
Volkswagen Touran,3650,1.9,Diesel,2007,Mechanical,Kaunas
BMW 320,3700,2.0,Diesel,2005,Mechanical,Kaunas
Audi A6,3750,2.7,Diesel,2005,Mechanical,Kedainiai
Audi A6,3750,2.0,Diesel,2007,Mechanical,Kedainiai
Seat Altea XL,3800,1.6,Petrol / Gas,2007,Mechanical,Kedainiai
Volkswagen Golf,3900,1.4,Gasoline,2008,Automatic,Kaunas
Toyota Auris,3950,2.0,Diesel,2008,Mechanical,Siauliai
Audi A4,4150,1.9,Diesel,2006,Mechanical,Kaunas
Volkswagen Caddy,4350,1.9,Diesel,2009,Mechanical,Kaunas
Volkswagen Golf,4350,1.6,Diesel,2010,Mechanical,Kaunas
Peugeot 308,4450,1.6,Diesel,2013,Mechanical,Klaipeda
Subaru Legacy,4450,2.0,Gasoline,2006,Mechanical,Vilnius
Volkswagen Passat,4500,2.0,Gasoline,2008,Mechanical,Vilnius
Audi A6,4500,2.0,Gasoline,2016,Automatic,Klaipeda
BMW X5,4600,3.0,Diesel,2005,Automatic,Radviliskis
Mazda 6,4690,1 0,Diesel,2008,Mechanical,Vilnius
Honda Accord VIII,4950,2.2,Diesel,2008,Mechanical,Vilnius
Subaru Forester,4950,2.5,Petrol / Gas,2007,Automatic,Radviliskis
Honda CR-V,4999,2.2,Diesel,2007,Mechanical,Kaunas
BMW 528,5000,2.0,Gasoline,2015,Automatic,Klaipeda
Opel Insignia,5299,2.0,Diesel,2012,Automatic,Vilnius
Skoda Octavia,5300,2.0,Diesel,2007,Mechanical,Kaunas
Mercedes-Benz C 200 W204,5300,2.1,Diesel,2010,Mechanical,Panevezys
Audi A6,5400,3.0,Diesel,2006,Mechanical,Kaunas
Volkswagen Caddy,5400,1.9,Diesel,2006,Automatic,Kaunas
Mercedes-Benz C 250,5500,2.2,Diesel,2012,Automatic,Kaunas
Ford Galaxy,5500,2.0,Diesel,2007,Mechanical,Kaunas
BMW 530,5500,3.0,Diesel,2006,Automatic,Kaunas
Volvo C30,5500,1.6,Diesel,2011,Mechanical,Vilnius
Audi A6,5500,3.0,Diesel,2006,Automatic,Vilnius
Mitsubishi Outlander,5500,2.0,Gasoline,2007,Mechanical,Vilnius
BMW 120,5750,2.0,Gasoline,2011,Mechanical,Kedainiai
Volkswagen Touran,5800,1.6,Diesel,2013,Mechanical,Vilnius
Toyota Prius,5950,1.5,N/A,2005,Automatic,Radviliskis
BMW X3 E83,6150,1 0,Diesel,2007,Mechanical,Kaunas
Volkswagen Passat CC,6200,2.0,Gasoline,2009,Automatic,Kaunas
Audi A6,6450,3.0,Diesel,2008,Automatic,Kaunas
BMW 530,6450,3.0,Diesel,2008,Mechanical,Kaunas
Chevrolet Captiva,6500,2.4,Gasoline,2011,Mechanical,Marijampole
Kia Cee'd,6590,1.6,Diesel,2013,Mechanical,Vilnius
Volvo XC90 I,6950,2.4,Diesel,2007,Automatic,Vilnius
Audi Q5,7000,2.0,Gasoline,2014,Automatic,Klaipeda
Audi A3,7500,1.6,Diesel,2012,Mechanical,Kaunas
Toyota RAV4 III,7550,2.0,Gasoline,2007,Automatic,Marijampole
Toyota RAV4 III,7800,2.2,Diesel,2009,Mechanical,Vilnius
Toyota Hilux,7850,2.5,Diesel,2008,Mechanical,Mazeikiai
Toyota Camry,7950,2.5,Gasoline,2013,Automatic,Mazeikiai
Mercedes-Benz 400,8000,Gas,2018 y,Auto,Sedan,Klaipeda
Opel Mokka,8200,1.7,Diesel,2013,Mechanical,Telsiai
Chrysler Town & Country,8250,3.6,Gasoline,2015,Automatic,Siauliai
Chrysler Town & Country,8300,3.6,Petrol / Gas,2012,Automatic,Vilnius
Volkswagen Passat B7,8300,1.8,Gasoline,2012,Mechanical,Vilnius
Nissan Qashqai,8450,1.6,Petrol / Gas,2012,Mechanical,Kaunas
Chrysler Pacifica,8500,Gas,2017 y,Auto,Van,Klaipeda
Volkswagen Golf,8500,2.0,Diesel,2015,Mechanical,Kaunas
Volkswagen Transporter,8600,2.0,Diesel,2014,Mechanical,Kaunas
Audi S3,8800,Gas,2019 y,Auto,Sedan,Klaipeda
Audi Q7,8950,3.0,Diesel,2007,Automatic,Kaunas
Mercedes-Benz Sprinter,9200,2.1,Diesel,2013,Mechanical,Kaunas
Volkswagen Multivan,9500,2.5,Diesel,2005,Mechanical,Vilnius
Mercedes-Benz C 300,9500,Gas,2019 y,Auto,Sedan,Klaipeda
Ford Mustang,9500,5.7,Gasoline,2016,Automatic,Klaipeda
Mercedes-Benz E 200,10500,2.0,Gasoline,2011,Automatic,Siauliai
Mitsubishi ASX,10800,2.0,Gasoline,2014,Automatic,Kretinga
Jeep Wrangler,11000,2.0,Gasoline,2018,Automatic,Klaipeda
Audi A5,11650,10 ,Gasoline,2012,Mechanical,Vilnius
Audi A6,11700,3.0,Diesel,2012,Automatic,Kaunas
Toyota Avensis,11995,1.6,Diesel,2017,Mechanical,Kretinga
Audi A5,11999,2.0,Gasoline,2013,Automatic,Siauliai
Kia Cee'd,11999,1.6,Gasoline,2017,Automatic,Kaunas
BMW 520,12250,2.0,Diesel,2012,Automatic,Radviliskis
Audi Q7,12500,3.6,Gasoline,2008,Mechanical,Varena
Volkswagen Passat,12500,1.6,Diesel,2016,Automatic,Vilnius
Honda HR-V,13599,1.5,Gasoline,2017,Automatic,Siauliai
BMW 520,14300,2.0,Diesel,2016,Automatic,Kaunas
Hyundai Santa Fe,14999,1 0,Diesel,2013,Automatic,Siauliai
Volvo XC60,16750,2.0,Diesel,2015,Automatic,Siauliai
BMW 530 Gran Turismo,17800,3.0,Diesel,2014,Automatic,Vilnius
Volvo XC90,18500,2.0,Gasoline,2019,Automatic,Klaipeda
Volvo XC90,19000,Gas,2020 y,Auto,SUV,Klaipeda
Toyota Land Cruiser,19250,3.0,Diesel,2013,Mechanical,Mazeikiai
BMW 428 Gran Coupe,19999,2.8,Gasoline,2015,Automatic,Siauliai
Mercedes-Benz G 400,24400,4.0,Diesel,2003,Automatic,Mazeikiai
BMW X4,26500,2.0,Diesel,2016,Automatic,Vilnius
Volkswagen Passat B5 FL,100,1.9,Diesel,2002,Mechanical,Jurbarkas
BMW 525 E60,100,2.5,Gasoline,2006,Mechanical,Czech Republic
Mercedes-Benz S 320 W220,100,3.2,Diesel,2002,Automatic,Moletai
Subaru Legacy IV,100,2.4,Gasoline,2004,Automatic,Czech Republic
Audi A4,150,1.9,Diesel,1997,Automatic,Silale
Volkswagen Golf,180,1.6,Diesel,1989,Mechanical,Rokiskis
Nissan Almera Tino,195,2.2,Diesel,2001,Mechanical,Telsiai
Audi 80 B3,200,1.6,Diesel,1988,Mechanical,Varena
Hyundai Accent,220,1.5,Gasoline,2000,Mechanical,Varena
Volkswagen Passat B5,222,1.9,Diesel,1998,Mechanical,Vilkaviskis
Renault 19,250,1.8,Gasoline,1993,Mechanical,Alytus
Citroen Xsara Picasso,250,2.0,Diesel,2002,Mechanical,Varena
Audi 80 B3,250,1.8,Gasoline,1987,Mechanical,Varena
Volkswagen Golf,250,1.9,Diesel,1999,Mechanical,Vilnius
Toyota Yaris,250,1.0,Gasoline,2004,Mechanical,Vilkaviskis
Audi A3,250,1.6,Gasoline,1998,Mechanical,Birzai
Renault Clio,250,1.2,Petrol / Gas,2002,Mechanical,Vilnius
Citroen Xsara Picasso,270,1.6,Gasoline,2000,Mechanical,Vilkaviskis
Citroen Xsara Picasso,280,1.8,Gasoline,2000,Mechanical,Kaunas
Audi 80,280,1.9,Diesel,1993,Mechanical,Vilnius
Volkswagen Jetta,280,1.6,Gasoline,1987,Mechanical,Silale
Mercedes-Benz A 170,280,1.7,Diesel,1999,Mechanical,Kaunas
Citroen Xsara Picasso,280,1.6,Gasoline,2001,Mechanical,Vilkaviskis
Opel Vectra,290,1.7,Diesel,1997,Mechanical,Kaunas
Volkswagen Passat B5,290,1.9,Diesel,1998,Mechanical,Utena
Volkswagen Golf,295,1.9,Diesel,1999,Mechanical,Marijampole
Renault Megane,299,1.9,Diesel,1999,Mechanical,Siauliai
Ford Focus,300,1.8,Petrol / Gas,1999,Mechanical,Kaunas
Skoda Octavia,300,1.9,Diesel,1998,Mechanical,Vilnius
Audi A3,300,1.6,Gasoline,1999,Mechanical,Jonava
Nissan Micra,300,1.5,Diesel,2005,Mechanical,Ukmerge
Ford Mondeo,300,1.8,Gasoline,2003,Mechanical,Other city
Mitsubishi Colt,300,1.3,Gasoline,1998,Automatic,Vilnius
Peugeot Partner,300,1.6,Gasoline,2001,Mechanical,Vilnius
Peugeot 206,300,1.9,Diesel,2001,Mechanical,Vilnius
Opel Astra,300,2.0,Diesel,1999,Mechanical,Kaunas
Peugeot 306,300,1.9,Diesel,1997,Mechanical,Kaunas
Subaru Forester III,300,2.0,Diesel,2009,Mechanical,Silale
Kia Sephia,300,1.5,Gasoline,2001,Mechanical,Klaipeda
Volkswagen Polo,300,1.9,Diesel,2006,Mechanical,Vilkaviskis
Audi A6,300,2.5,Diesel,2000,Automatic,Kaunas
Peugeot 206,300,1.6,Diesel,2004,Mechanical,Prienai
Peugeot 406,300,2.0,Diesel,1999,Mechanical,Vilnius
Opel Astra,300,2.0,Diesel,2000,Mechanical,Telsiai
Honda Accord VII,300,2.2,Diesel,2005,Mechanical,Vilnius
Audi A4,300,1.8,Gasoline,1995,Mechanical,Vilkaviskis
Chrysler PT Cruiser,300,1.6,Petrol / Gas,2004,Mechanical,Kaunas
Mitsubishi Space Wagon,320,2.4,Gasoline,1999,Mechanical,Varena
Renault Scenic,320,1.9,Diesel,1999,Mechanical,Klaipeda
Renault Espace,320,2.0,Petrol / Gas,1997,Mechanical,Moletai
Mercedes-Benz A 170 W168,330,1.7,Diesel,2004,Mechanical,Siauliai
Volkswagen Passat B5,333,1.9,Diesel,1998,Mechanical,Vilkaviskis
Mercedes-Benz A 170 W168,333,1.7,Diesel,2002,Automatic,Vilkaviskis
Seat Alhambra I,333,1.9,Diesel,1999,Mechanical,Vilkaviskis
Seat Cordoba,340,1.6,Gasoline,1999,Mechanical,Vilnius
Opel Astra II,350,1.4,Gasoline,1999,Automatic,Vilnius
Ford Focus,350,1.8,Diesel,2002,Mechanical,Plunge
Ford Focus,350,1.8,Diesel,2003,Mechanical,Vilnius
Honda Concerto,350,1.5,Gasoline,1992,Mechanical,Klaipeda
Seat Ibiza II FL,350,1.9,Diesel,2002,Mechanical,Ignalina
Opel Zafira A,350,2.2,Diesel,2003,Mechanical,Ignalina
Opel Vectra B,350,2.0,Diesel,1999,Mechanical,Varena
Audi A3 8L,350,1.6,Gasoline,1998,Mechanical,Vilnius
Opel Zafira A,350,2.0,Diesel,2002,Mechanical,Siauliai
Renault Kangoo,350,1.2,Petrol / Gas,1998,Mechanical,Salcininkai
Nissan Almera Tino,350,2.2,Diesel,2004,Mechanical,Plunge
Seat Cordoba,350,1.6,Gasoline,1997,Mechanical,Radviliskis
Volkswagen Passat,350,1.9,Diesel,1999,Mechanical,Silale
Seat Alhambra,350,1.9,Diesel,1997,Mechanical,Kaunas
Opel Astra,350,1.7,Diesel,2000,Mechanical,Vilnius
Volvo V40,350,1.9,Diesel,2000,Mechanical,Svencionys
Audi A4 B5,350,1.6,Gasoline,1999,Mechanical,Jonava
Volkswagen Passat,360,1.9,Diesel,1997,Mechanical,Vilnius
Peugeot 307,369,1.6,Gasoline,2004,Mechanical,Kaunas
Volkswagen Passat,369,1.9,Diesel,1999,Mechanical,Kaunas
Mitsubishi Colt,370,1.3,Gasoline,1998,Automatic,Kaunas
Opel Vectra,370,1.6,Gasoline,1998,Mechanical,Klaipeda
Renault Scenic,370,1.5,Diesel,2007,Mechanical,Ukmerge
Ford Mondeo,370,1.8,Diesel,1999,Mechanical,Jonava
Nissan Primera,380,1.9,Diesel,2004,Mechanical,Siauliai
Renault Megane,380,1.9,Diesel,2003,Mechanical,Kaunas
Volvo S80 I,380,2.0,Gasoline,1998,Mechanical,Varena
Mitsubishi Carisma,380,1.6,Petrol / Gas,1998,Mechanical,Klaipeda
Opel Astra,380,2.0,Diesel,1998,Mechanical,Kretinga
Honda Accord,390,1.8,Petrol / Gas,1993,Mechanical,Kaunas
Audi A3,390,1.9,Diesel,1998,Mechanical,Sakiai
Citroen Berlingo,399,1.4,Gasoline,2004,Mechanical,Siauliai
Volkswagen Sharan I,399,1.9,Diesel,1998,Mechanical,Vilkaviskis
Seat Alhambra,399,1.9,Diesel,1998,Mechanical,Kaunas
Volkswagen Passat,399,1.9,Diesel,1998,Mechanical,Panevezys
Volkswagen Passat,399,1.9,Diesel,1998,Mechanical,Panevezys
Peugeot 307,400,2.0,Diesel,2004,Mechanical,Kaunas
Opel Vectra,400,1.8,Gasoline,2000,Mechanical,Marijampole
Skoda Octavia,400,1.9,Diesel,1999,Mechanical,Alytus
Skoda Octavia,400,1.9,Diesel,2002,Mechanical,Alytus
Volkswagen Golf IV,400,1.9,Diesel,1998,Mechanical,Raseiniai
Ford Focus,400,1.8,Diesel,2003,Mechanical,Vilnius
Hyundai Sonata,400,3.5,Gasoline,2002,Automatic,Kaunas
Opel Astra,400,1.8,Gasoline,2001,Mechanical,Klaipeda
Chrysler Neon,400,2.0,Gasoline,2002,Automatic,Klaipeda
Opel Signum,400,1.9,Diesel,2005,Automatic,Kursenai
Renault Clio III,400,1.2,Gasoline,2005,Mechanical,Vilnius
Renault Megane I,400,1.6,Gasoline,2000,Mechanical,Vilnius
Volkswagen Golf,400,1.9,Diesel,1999,Mechanical,Ukmerge
Volkswagen Beetle,400,2.0,Gasoline,1999,Mechanical,Plunge
Opel Vectra,400,2.2,Diesel,2003,Mechanical,Silale
Volkswagen Passat B5,400,1.6,Gasoline,1998,Mechanical,Vilnius
Skoda Fabia I,400,1.9,Diesel,2001,Mechanical,Vilnius
Ford Galaxy,400,2.3,Gasoline,2000,Mechanical,Silale
Peugeot 607,400,2.2,Diesel,2001,Mechanical,Salcininkai
Opel Astra,400,1.6,Gasoline,1999,Automatic,Ukmerge
Opel Astra,400,2.0,Diesel,1998,Mechanical,Klaipeda
Nissan Sunny B12/N13,400,1.3,Gasoline,1987,Mechanical,Kaunas
Fiat Stilo,400,1.6,Gasoline,2003,Mechanical,Telsiai
Citroen Berlingo,400,1.4,Gasoline,2002,Mechanical,Vilnius
Nissan Almera Tino,420,2.2,Diesel,2001,Mechanical,Mazeikiai
Mercedes-Benz A 170,420,1.7,Diesel,2002,Mechanical,Kedainiai
Ford Focus,420,1.6,Gasoline,1999,Mechanical,Vilnius
Volkswagen Passat,420,1.9,Diesel,1999,Mechanical,Siauliai
Peugeot 307,420,2.0,Diesel,2002,Mechanical,Klaipeda
Nissan Almera,420,2.2,Diesel,2001,Mechanical,Klaipeda
Audi 80,420,1.8,Petrol / Gas,1988,Mechanical,Rokiskis
Seat Leon,420,1.9,Diesel,2001,Mechanical,Kaunas
Renault Laguna,420,2.2,Diesel,2003,Mechanical,Klaipeda
Renault Scenic,430,2.0,Diesel,1999,Mechanical,Telsiai
Opel Astra II,430,1.4,Gasoline,1999,Mechanical,Panevezys
Opel Astra II,430,1.2,Gasoline,2003,Mechanical,Panevezys
Mitsubishi Carisma II,430,1.9,Diesel,2000,Mechanical,Panevezys
Volkswagen Golf IV,430,1.9,Diesel,2002,Mechanical,Marijampole
Volkswagen Jetta,430,1.8,Gasoline,1988,Mechanical,Pasvalys
Volkswagen Golf,430,1.9,Diesel,1993,Mechanical,Telsiai
Opel Astra,435,2.0,Diesel,2001,Mechanical,Kedainiai
Volvo S60 I,440,2.4,Gasoline,2002,Mechanical,Kaunas
Opel Vectra C,440,2.2,Diesel,2003,Mechanical,Plunge
Audi A4 B5,440,2.5,Diesel,1999,Automatic,Panevezys
Renault Laguna,440,1.9,Diesel,2003,Mechanical,Vilnius
Audi 80 B4,444,1.9,Diesel,1992,Mechanical,Pakruojis
Ford Sierra,450,2.0,Petrol / Gas,1984,Automatic,Kaunas
Volkswagen Golf,450,1.9,Diesel,2001,Mechanical,Vilnius
Ford Mondeo,450,2.0,Diesel,2004,Mechanical,Vilnius
Citroen C3,450,1.4,Diesel,2005,Mechanical,Vilnius
Volkswagen Passat B6,450,1.9,Diesel,2009,Mechanical,Visaginas
BMW 525,450,2.5,Diesel,2001,Mechanical,Mazeikiai
Renault Megane,450,1.6,Gasoline,2004,Mechanical,Vilnius
Seat Toledo,450,1.9,Diesel,2001,Mechanical,Kaunas
Mitsubishi Galant,450,2.0,Gasoline,1998,Mechanical,Birstonas
Opel Vectra C,450,2.2,Diesel,2003,Mechanical,Kaunas
Seat Toledo,450,1.8,Petrol / Gas,1997,Mechanical,Klaipeda
Honda Civic,450,1.4,Gasoline,2005,Mechanical,Vilnius
BMW 318 E46,450,1.8,Gasoline,2002,Mechanical,Utena
Audi 100 C4,450,2.5,Diesel,1992,Mechanical,Siauliai
Saab 9-5,450,2.2,Diesel,2005,Mechanical,Vilnius
Toyota Yaris I,450,1.4,Diesel,2002,Mechanical,Kaunas
Opel Astra,450,1.6,Petrol / Gas,1993,Mechanical,Raseiniai
Opel Vectra B,450,1.9,Diesel,2002,Mechanical,Siauliai
Ford Galaxy Mk2,450,1.9,Diesel,2002,Mechanical,Panevezys
BMW 320,450,2.0,Diesel,2000,Mechanical,Panevezys
Fiat Stilo,450,1.9,Diesel,2007,Mechanical,Silale
Skoda Fabia,450,1.9,Diesel,2004,Mechanical,Vilnius
Volkswagen Passat B5,450,1.6,Gasoline,1999,Mechanical,Siauliai
Ford Mondeo,450,1.8,Gasoline,2003,Mechanical,Siauliai
Opel Zafira A,450,2.0,Diesel,2000,Mechanical,Kaunas
Peugeot 206,450,1.6,Gasoline,2003,Mechanical,Silale
Opel Zafira A,450,2.2,Diesel,2002,Mechanical,Vilnius
Chevrolet Lacetti,450,1.8,Petrol / Gas,2006,Mechanical,Vilnius
Volkswagen Passat B3,450,1.6,Diesel,1993,Mechanical,Kaunas
Volkswagen Passat,450,1.9,Diesel,1997,Mechanical,Silale
Honda Civic VII,450,1.6,Gasoline,2001,Mechanical,Vilnius
Ford Mondeo,469,2.0,Diesel,2001,Mechanical,Kaunas
Volkswagen Passat,470,1.9,Diesel,1999,Mechanical,Mazeikiai
Audi A3,470,1.9,Diesel,2001,Mechanical,Vilnius
Peugeot 206,470,1.9,Diesel,1998,Mechanical,Kaunas
Nissan Micra,470,1.5,Diesel,2003,Mechanical,Ukmerge
Opel Meriva,480,1.7,Diesel,2004,Mechanical,Vilnius
Audi 80,480,1.8,Petrol / Gas,1990,Mechanical,Vilnius
Volvo S40,480,2.0,Petrol / Gas,1998,Mechanical,Moletai
Hyundai Lantra,480,1.6,Gasoline,1996,Mechanical,Marijampole
Skoda Fabia,489,1.9,Diesel,2002,Mechanical,Vilnius
Chrysler PT Cruiser,490,2.0,Petrol / Gas,2001,Mechanical,Klaipeda
Volkswagen Caddy,490,1.9,Diesel,2003,Mechanical,Vilnius
Mazda Premacy,490,2.0,Diesel,2001,Mechanical,Klaipeda
Volkswagen Golf,490,1.9,Diesel,2000,Mechanical,Vilnius
Volkswagen Golf,490,1.9,Diesel,1998,Mechanical,Vilnius
